Date,Open,High,Low,Close,Adj Close,Volume
6/27/2011,37.080002,40.869999,36.950001,38.97791037,23.477552,76832000
7/4/2011,37.740002,39.860001,37.119999,38.99344654,23.278807,55376600
7/11/2011,39.110001,40.369999,38.650002,40.13967851,23.167822,62793400
7/18/2011,39.68,40.82,39.27,40.25696938,23.117487,86606500
7/25/2011,39.459999,40.52,38.869999,40.18324375,22.205114,78667100
8/1/2011,37.349998,40.389999,37.34,39.82803013,22.054108,130301600
8/8/2011,38.98,40.939999,38.279999,39.46825609,21.582193,184267100
8/15/2011,39.599998,40.66,39.419998,39.61743245,21.840174,94328400
8/22/2011,39.400002,40.5,38.75,39.52506972,22.500853,84425700
8/29/2011,40.049999,40.720001,39.5,39.96447009,22.374998,88131300
9/5/2011,39.98,41.720001,39.779999,40.02915146,22.173658,65188700
9/12/2011,39.779999,41.75,39.650002,41.46303183,23.104898,78739900
9/19/2011,39.41,41.919998,39.060001,41.091585,22.576359,115989200
9/26/2011,40.11,41.41,39.84,40.40746183,22.88,"21,607,000"
