Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,97.820000,99.410004,97.070000,98.620003,74.798370,23262900
2012-04-09,97.739998,99.500000,96.959999,96.970001,73.546928,31648500
2012-04-16,97.089996,97.980003,94.129997,95.940002,72.765739,44178000
2012-04-23,95.779999,97.529999,94.150002,97.379997,73.857903,29255400
2012-04-30,97.610001,98.010002,95.750000,95.870003,72.712639,22777100
2012-05-07,95.730003,96.029999,91.559998,91.900002,69.701599,38940900
2012-05-14,91.540001,91.739998,89.500000,89.849998,68.146759,32974200
2012-05-21,90.010002,92.110001,89.889999,91.050003,69.056915,24613700
2012-05-28,91.410004,91.730003,86.500000,86.709999,65.765236,28404800
2012-06-04,86.599998,89.779999,85.919998,87.750000,67.075073,40590100
2012-06-11,88.980003,90.760002,86.589996,90.500000,69.177139,43275500
2012-06-18,90.599998,90.620003,87.529999,88.349998,67.533745,32950100
2012-06-25,88.000000,89.500000,87.379997,88.529999,67.671303,26240500
