Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,38.290001,38.610001,37.520000,37.660000,24.338913,51405800
2012-04-09,37.360001,37.610001,36.799999,37.259998,24.398169,63804900
2012-04-16,37.330002,38.910000,37.209999,38.730000,25.360741,64263300
2012-04-23,38.450001,40.439999,38.410000,40.230000,26.342953,78620200
2012-04-30,40.090000,40.840000,40.080002,40.259998,26.362595,63180000
2012-05-07,40.060001,41.430000,39.849998,41.160000,26.951929,60599200
2012-05-14,40.919998,41.959999,40.480000,41.529999,27.194202,72797800
2012-05-21,41.689999,41.770000,40.880001,41.450001,27.141821,56176300
2012-05-28,41.650002,41.910000,40.950001,41.029999,26.866800,45021800
2012-06-04,41.000000,42.439999,40.919998,42.439999,27.790075,61607500
2012-06-11,42.610001,44.139999,42.349998,43.549999,28.516926,73388600
2012-06-18,43.520000,44.130001,43.040001,43.950001,28.778851,139793000
2012-06-25,43.610001,44.770000,43.389999,44.439999,29.099695,107412400
